epoch,loss,bleu
001,4.633,30.65
002,4.29,34.29
003,4.151,35.61
004,4.111,34.96
005,4.02,36.74
006,3.986,37.1
007,3.961,36.74
008,3.934,37.54
009,3.913,37.55
010,3.895,37.75
011,3.883,37.78
012,3.876,37.52
013,3.86,37.77
014,3.857,37.99
015,3.839,38.14
016,3.833,38.28
017,3.823,38.38
018,3.823,38.3
019,3.812,38.46
020,3.805,38.37
021,3.799,38.42
022,3.797,38.55
023,3.791,38.53
024,3.787,38.55
025,3.787,38.48
026,3.776,38.8
027,3.776,38.85
028,3.776,38.53
029,3.773,38.64
030,3.762,38.89
031,3.765,38.94
032,3.757,38.89
033,3.756,38.75
034,3.756,38.82
035,3.753,38.72
036,3.75,39
037,3.753,38.74
038,3.743,39.07
039,3.737,39.08
040,3.742,39.01
041,3.751,38.67
042,3.743,38.74
043,3.733,39.04
044,3.734,38.97
045,3.727,39.13
046,3.726,39.18
047,3.727,39.12
048,3.727,39.16
049,3.718,39.09
050,3.721,39.13
051,3.718,39.27
052,3.713,39.28
053,3.721,39.11
054,3.716,39.33
055,3.715,39.36
056,3.71,39.37
057,3.715,39.22
058,3.709,39.24
059,3.711,39.26
060,3.713,39.2
061,3.707,39.18
062,3.704,39.4
063,3.703,39.38
064,3.703,39.32
065,3.706,39.17
066,3.706,39.38
067,3.702,39.31
068,3.701,39.29
069,3.705,39.26
