epoch,loss,bleu
001,5.052,26.87
002,4.621,31.74
003,4.442,33.31
004,4.392,33.03
005,4.289,34.71
006,4.241,35.48
007,4.211,35.08
008,4.176,35.89
009,4.153,36.01
010,4.129,36.13
011,4.114,36.29
012,4.108,36.02
013,4.088,36.31
014,4.081,36.5
015,4.065,36.73
016,4.056,36.87
017,4.043,36.91
018,4.045,36.82
019,4.029,37.1
020,4.023,36.95
021,4.015,37.01
022,4.012,37.15
023,4.003,37.05
024,3.999,37.05
025,3.996,37.07
026,3.984,37.42
027,3.983,37.5
028,3.986,37.14
029,3.98,37.29
030,3.969,37.46
031,3.968,37.65
032,3.961,37.62
033,3.96,37.37
034,3.959,37.54
035,3.956,37.42
036,3.949,37.68
037,3.952,37.42
038,3.944,37.74
039,3.936,37.77
040,3.941,37.69
041,3.951,37.39
042,3.943,37.4
043,3.93,37.75
044,3.928,37.74
045,3.922,37.82
046,3.921,37.88
047,3.921,37.82
048,3.922,37.92
049,3.912,37.92
050,3.917,37.89
051,3.91,38.04
052,3.907,38
053,3.913,37.87
054,3.906,38.12
055,3.904,38.08
056,3.9,38.11
057,3.906,37.98
058,3.9,37.96
059,3.899,38.12
060,3.901,38
061,3.895,38.02
