epoch,loss,bleu
001,8.492,2.41
002,7.118,6.74
003,6.241,11.34
004,5.739,15.29
005,5.319,19.82
006,5.113,21.75
007,4.921,23.92
008,4.806,25.15
009,4.69,26.41
010,4.604,27.56
011,4.542,28
012,4.518,27.84
013,4.437,29.28
014,4.407,29.27
015,4.392,29.7
016,4.343,30.22
017,4.315,30.92
018,4.284,31.19
019,4.275,30.76
020,4.25,31.41
021,4.231,31.36
022,4.214,32.19
023,4.197,32.13
024,4.191,32.37
025,4.164,32.47
026,4.175,32.44
027,4.148,33.06
028,4.133,32.85
029,4.131,32.9
030,4.117,33.33
031,4.109,33.34
032,4.097,33.49
033,4.09,33.5
034,4.087,33.37
035,4.082,33.41
036,4.079,33.54
037,4.076,33.55
038,4.055,34.05
039,4.079,33.13
040,4.073,33.41
041,4.039,34.28
042,4.043,34.24
043,4.029,34.37
044,4.029,34.45
045,4.023,34.34
046,4.015,34.4
047,4.013,34.48
048,4.009,34.77
049,4.012,34.33
050,4.008,34.33
051,4,34.75
052,3.992,34.99
053,3.992,34.53
054,3.994,34.54
055,3.987,35.1
056,3.979,35.01
057,3.975,34.92
058,3.98,34.74
059,3.976,34.85
060,3.97,34.94
