epoch,loss,bleu
001,8.604,2.07
002,7.216,6.41
003,6.344,10.74
004,5.842,14.44
005,5.439,18.75
006,5.233,20.71
007,5.035,22.75
008,4.917,23.82
009,4.778,25.63
010,4.689,26.54
011,4.627,26.95
012,4.583,26.99
013,4.513,28.52
014,4.479,28.63
015,4.465,28.76
016,4.411,29.83
017,4.387,30
018,4.35,30.6
019,4.346,30.21
020,4.314,30.84
021,4.3,30.63
022,4.279,31.14
023,4.254,31.65
024,4.25,31.98
025,4.225,31.93
026,4.232,31.81
027,4.204,32.49
028,4.194,32.26
029,4.182,32.46
030,4.174,32.62
031,4.164,32.85
032,4.153,33.06
033,4.146,33.2
034,4.141,32.78
035,4.142,32.76
036,4.126,33.12
037,4.126,33.16
038,4.107,33.55
039,4.126,32.65
040,4.115,32.87
041,4.09,33.84
042,4.09,33.79
043,4.076,33.92
044,4.077,33.97
045,4.072,33.86
046,4.064,34
047,4.061,34.13
048,4.058,34.12
049,4.061,33.76
050,4.053,34.12
051,4.044,34.24
052,4.037,34.52
053,4.039,34.24
054,4.043,34.16
055,4.037,34.51
056,4.021,34.58
057,4.022,34.54
058,4.026,34.45
059,4.022,34.41
060,4.014,34.57
