epoch,loss,bleu
001,7.73,4.39
002,6.383,9.99
003,5.497,16.55
004,4.925,21.92
005,4.623,26.09
006,4.449,27.72
007,4.34,28.86
008,4.255,30.5
009,4.193,31.12
010,4.143,31.96
011,4.107,31.62
012,4.072,32.64
013,4.047,32.91
014,4.033,33.05
015,4.015,33.52
016,3.99,34.07
017,3.979,34.27
018,3.97,34.43
019,3.959,34.28
020,3.953,34.53
021,3.944,34.24
022,3.939,34.88
023,3.932,34.91
024,3.928,35.13
025,3.921,35.07
026,3.93,35.11
027,3.92,35.29
028,3.909,35.4
029,3.91,35.31
030,3.912,35.44
031,3.911,35.46
032,3.904,35.31
033,3.902,35.72
034,3.896,35.37
035,3.901,35.33
036,3.906,35.48
037,3.905,35.71
038,3.895,35.6
039,3.909,35.29
040,3.903,35.54
