epoch,loss,bleu
001,5.338,20.69
002,4.813,26.15
003,4.617,28.02
004,4.512,28.74
005,4.42,30.4
006,4.358,31.04
007,4.315,31.14
008,4.28,31.4
009,4.255,31.83
010,4.232,31.8
011,4.208,32.14
012,4.209,31.56
013,4.187,31.96
014,4.163,32.64
015,4.149,32.74
016,4.138,32.82
017,4.134,32.75
018,4.121,32.89
019,4.112,33.14
020,4.1,33.11
021,4.094,33.28
022,4.091,33.03
023,4.087,33.03
024,4.079,33.1
025,4.068,33.48
026,4.06,33.5
027,4.059,33.33
028,4.054,33.37
029,4.053,33.49
030,4.048,33.43
031,4.038,33.65
032,4.042,33.6
033,4.027,33.88
034,4.023,33.89
035,4.023,33.64
036,4.018,33.81
037,4.013,33.77
038,4.015,33.82
039,4.015,33.62
040,4.005,33.98
041,4.003,33.86
042,4,34.16
043,3.999,33.77
044,3.996,34.01
045,3.99,33.96
046,3.991,33.8
047,3.995,33.84
048,3.984,33.99
049,3.983,34.05
