epoch,loss,bleu
001,5.185,22.03
002,4.68,27.08
003,4.497,28.92
004,4.399,29.65
005,4.314,31.12
006,4.258,31.73
007,4.216,31.79
008,4.187,32.03
009,4.162,32.39
010,4.143,32.41
011,4.119,32.82
012,4.123,32.16
013,4.099,32.52
014,4.078,33.11
015,4.067,33.29
016,4.057,33.36
017,4.05,33.27
018,4.038,33.38
019,4.031,33.62
020,4.021,33.61
021,4.015,33.74
022,4.015,33.49
023,4.011,33.47
024,4.001,33.57
025,3.991,33.94
026,3.982,34.01
027,3.983,33.85
028,3.98,33.77
029,3.976,33.97
030,3.972,33.89
031,3.963,34.15
032,3.966,34.07
033,3.953,34.29
034,3.949,34.32
035,3.948,34.13
036,3.944,34.19
037,3.942,34.14
038,3.942,34.22
039,3.944,33.95
040,3.934,34.42
041,3.932,34.23
042,3.93,34.54
043,3.926,34.22
044,3.925,34.38
045,3.922,34.38
046,3.921,34.17
047,3.924,34.26
048,3.912,34.46
049,3.912,34.51
