epoch,loss,bleu
001,5.831,13.94
002,4.757,25.1
003,4.363,30.03
004,4.129,32.89
005,4.001,34.47
006,3.924,35.23
007,3.86,36.1
008,3.807,36.78
009,3.77,37.13
010,3.743,37.62
011,3.709,37.94
012,3.693,38.31
013,3.675,38.2
014,3.657,38.45
015,3.636,38.91
016,3.625,38.78
017,3.609,39.19
018,3.604,39.27
019,3.59,39.39
020,3.579,39.4
021,3.573,39.68
022,3.562,39.77
023,3.562,39.58
024,3.552,39.71
025,3.541,40.04
026,3.55,39.34
027,3.54,39.37
028,3.531,40.14
029,3.529,39.84
030,3.515,40.37
031,3.513,40.34
032,3.508,40.43
033,3.502,40.43
034,3.496,40.54
035,3.493,40.45
036,3.497,40.42
037,3.49,40.6
038,3.484,40.71
039,3.479,40.56
040,3.478,40.64
041,3.48,40.48
042,3.473,40.69
043,3.469,40.7
044,3.47,40.83
045,3.462,40.72
046,3.465,40.86
047,3.462,40.75
048,3.457,40.98
049,3.459,40.99
050,3.453,40.9
051,3.454,40.92
052,3.449,41.05
053,3.449,41.17
054,3.444,41
055,3.444,41.09
056,3.442,41.17
057,3.441,41.28
058,3.438,41.06
059,3.436,41.29
060,3.435,41.27
061,3.437,41.28
062,3.432,41.29
063,3.436,40.99
064,3.43,41.25
065,3.426,41.23
066,3.434,41.03
