epoch,loss,bleu
001,6.065,12.83
002,5.036,22.25
003,4.636,26.55
004,4.354,30.62
005,4.207,32.32
006,4.11,33.29
007,4.037,34.27
008,3.971,35.13
009,3.925,35.57
010,3.889,36.12
011,3.854,36.64
012,3.831,36.91
013,3.812,36.82
014,3.789,37.15
015,3.769,37.54
016,3.754,37.48
017,3.734,37.93
018,3.727,38.05
019,3.712,38.11
020,3.702,38.4
021,3.691,38.46
022,3.678,38.71
023,3.674,38.43
024,3.664,38.63
025,3.655,38.95
026,3.664,38.16
027,3.648,38.37
028,3.639,39.01
029,3.637,38.78
030,3.622,39.35
031,3.623,39.19
032,3.612,39.41
033,3.609,39.45
034,3.602,39.61
035,3.598,39.43
036,3.602,39.33
037,3.592,39.61
038,3.585,39.66
039,3.58,39.64
040,3.579,39.65
041,3.58,39.44
042,3.573,39.78
043,3.57,39.83
044,3.567,39.9
045,3.56,39.83
046,3.562,39.88
047,3.559,39.89
048,3.554,40
049,3.554,40
050,3.546,40.1
051,3.55,39.91
052,3.543,40.28
053,3.543,40.14
054,3.538,40.07
055,3.54,40.16
056,3.534,40.27
057,3.533,40.34
058,3.531,40.2
059,3.528,40.34
060,3.527,40.38
061,3.527,40.38
062,3.524,40.35
063,3.525,40.1
064,3.523,40.36
065,3.516,40.47
066,3.523,40.12
067,3.514,40.43
068,3.514,40.67
069,3.512,40.29
070,3.508,40.68
071,3.508,40.54
072,3.508,40.47
073,3.503,40.73
074,3.505,40.54
075,3.498,40.6
076,3.501,40.67
077,3.503,40.57
078,3.5,40.61
079,3.496,40.75
080,3.494,40.69
