epoch,loss,bleu
001,6.236,11.61
002,5.182,21.49
003,4.758,25.68
004,4.477,29.41
005,4.318,31.54
006,4.223,32.3
007,4.14,33.42
008,4.072,34.44
009,4.024,34.83
010,3.989,35.42
011,3.95,35.89
012,3.925,36.11
013,3.903,36.11
014,3.88,36.39
015,3.861,36.81
016,3.846,36.66
017,3.826,37.29
018,3.817,37.11
019,3.799,37.57
020,3.785,37.62
021,3.774,37.76
022,3.762,38.05
023,3.759,37.81
024,3.748,38.04
025,3.737,38.33
026,3.748,37.48
027,3.734,37.49
028,3.719,38.42
029,3.716,38.16
030,3.701,38.68
031,3.699,38.59
032,3.691,38.7
033,3.685,38.68
034,3.679,38.97
035,3.674,38.87
036,3.676,38.78
037,3.666,39.08
038,3.66,39.11
039,3.655,39.03
040,3.652,39.12
041,3.653,38.97
042,3.647,39.17
043,3.642,39.17
044,3.638,39.28
045,3.633,39.34
046,3.633,39.33
047,3.63,39.34
048,3.626,39.44
049,3.624,39.5
050,3.617,39.41
051,3.619,39.4
052,3.612,39.79
053,3.612,39.68
054,3.608,39.54
055,3.608,39.57
056,3.603,39.74
057,3.602,39.87
058,3.6,39.57
059,3.597,39.81
060,3.595,39.81
061,3.594,39.76
062,3.589,39.93
063,3.593,39.57
064,3.587,39.87
065,3.581,39.99
066,3.588,39.69
067,3.577,40.04
068,3.576,40.12
069,3.578,39.89
070,3.573,40.13
071,3.573,40.07
072,3.572,39.96
073,3.568,40.1
074,3.567,40.17
075,3.563,40.04
076,3.566,40.24
077,3.566,40.2
078,3.562,40.18
079,3.559,40.24
080,3.554,40.24
