epoch,loss,bleu
001,8.947,0.78
002,7.989,2.06
003,7.297,4.54
004,6.713,6.94
005,6.345,8.68
006,6.087,11.87
007,5.924,12.99
008,5.725,14.76
009,5.565,16.75
010,5.476,16.72
011,5.348,18.53
012,5.281,19.48
013,5.202,20.2
014,5.161,20.62
015,5.096,20.93
016,5.072,21.15
017,5.018,22.29
018,4.979,22.48
019,4.942,23.15
020,4.912,23.4
021,4.894,23.36
022,4.874,23.88
023,4.835,23.99
024,4.824,24.21
025,4.881,22.54
026,4.778,24.39
027,4.761,24.75
028,4.766,24.77
029,4.735,24.9
030,4.73,24.86
031,4.715,25.53
032,4.709,25.51
033,4.7,25.79
034,4.69,25.75
035,4.662,25.86
036,4.657,26.15
037,4.642,25.79
038,4.635,26.26
039,4.647,25.63
040,4.618,26.54
041,4.615,26.57
042,4.616,26.72
043,4.602,26.53
044,4.591,26.64
045,4.581,26.78
046,4.57,26.77
047,4.561,26.78
048,4.569,27.02
049,4.568,26.75
050,4.562,27.1
051,4.561,27.14
052,4.558,27.2
053,4.537,27.22
054,4.538,27.25
055,4.537,27.49
056,4.526,27.42
057,4.519,27.26
058,4.531,27.07
059,4.515,27.43
060,4.525,27.61
