epoch,loss,bleu
001,8.496,1.57
002,7.419,3.3
003,6.678,6.95
004,6.154,9.7
005,5.732,12.74
006,5.47,16.08
007,5.284,18.22
008,5.107,19.84
009,5.001,21.07
010,4.922,22.06
011,4.849,22.77
012,4.79,23.05
013,4.759,23.51
014,4.699,24.2
015,4.662,24.92
016,4.639,25.41
017,4.612,25.22
018,4.585,25.76
019,4.576,26.05
020,4.549,26.29
021,4.535,26.41
022,4.524,26.67
023,4.513,26.67
024,4.501,27.06
025,4.522,26.48
026,4.473,27.03
027,4.471,27.1
028,4.479,27.03
029,4.46,27.55
030,4.468,27.11
031,4.451,27.84
032,4.441,27.83
033,4.443,27.94
034,4.438,27.96
035,4.426,27.91
036,4.432,28.14
037,4.418,27.62
038,4.418,28.13
039,4.435,27.57
040,4.403,28.4
041,4.408,28.3
042,4.42,28.35
043,4.41,28.02
044,4.41,28.03
045,4.397,28.42
046,4.395,28.25
047,4.388,28.26
048,4.396,28.4
049,4.398,28.54
050,4.409,28.54
051,4.397,28.4
052,4.397,28.8
053,4.392,28.74
054,4.394,28.5
055,4.393,28.81
056,4.386,28.64
057,4.385,28.53
058,4.395,28.49
059,4.387,28.6
060,4.394,28.82
