epoch,loss,bleu
001,8.956,0.58
002,7.992,2.12
003,7.289,4.57
004,6.72,6.39
005,6.356,8.34
006,6.102,11.67
007,5.946,12.93
008,5.751,14.34
009,5.586,16.43
010,5.507,16.37
011,5.371,18.28
012,5.3,19.21
013,5.221,20.05
014,5.172,20.39
015,5.11,21.08
016,5.093,20.96
017,5.036,22.11
018,4.996,22.54
019,4.959,22.84
020,4.93,23.34
021,4.911,23.4
022,4.897,23.66
023,4.852,23.91
024,4.851,23.84
025,4.909,22.45
026,4.797,24.23
027,4.775,24.76
028,4.785,24.66
029,4.757,24.96
030,4.753,24.85
031,4.752,25.37
032,4.724,25.42
033,4.718,25.71
034,4.697,25.57
035,4.686,25.73
036,4.684,26.01
037,4.663,25.85
038,4.658,26.12
039,4.669,25.48
040,4.637,26.49
041,4.637,26.43
042,4.65,26.54
043,4.633,26.36
044,4.617,26.26
045,4.607,26.54
046,4.596,26.64
047,4.582,26.65
048,4.595,26.77
049,4.588,26.85
050,4.59,26.73
051,4.587,27.06
052,4.583,27.16
053,4.562,26.95
054,4.557,26.98
055,4.563,27.24
056,4.55,27.17
057,4.536,27.27
058,4.551,26.97
059,4.535,27.15
060,4.552,27.54
