epoch,loss,bleu
001,8.919,0.94
002,7.977,2.12
003,7.3,4.53
004,6.712,6.91
005,6.328,8.98
006,6.094,11.79
007,5.953,13.13
008,5.722,14.55
009,5.559,16.75
010,5.484,16.65
011,5.349,18.38
012,5.286,19.13
013,5.207,19.95
014,5.153,20.35
015,5.098,20.63
016,5.08,20.83
017,5.018,22.07
018,4.985,22.47
019,4.946,22.87
020,4.914,23.09
021,4.903,23.08
022,4.877,23.31
023,4.841,23.77
024,4.853,23.78
025,4.877,22.69
026,4.786,24.1
027,4.769,24.51
028,4.785,24.45
029,4.748,24.73
030,4.74,24.57
031,4.727,25.2
032,4.722,25.25
033,4.71,25.67
034,4.697,25.51
035,4.679,25.75
036,4.679,25.86
037,4.658,25.54
038,4.653,25.94
039,4.669,25.22
040,4.632,26.23
041,4.626,26.31
042,4.643,26.48
043,4.628,26.16
044,4.611,26.24
045,4.606,26.37
046,4.594,26.59
047,4.582,26.49
048,4.594,26.84
049,4.583,26.8
050,4.585,26.76
051,4.58,26.83
052,4.576,27.14
053,4.56,26.8
054,4.556,27.08
055,4.555,27.06
056,4.543,27.02
057,4.536,26.95
058,4.549,26.78
059,4.533,27.12
