epoch,loss,bleu
001,8.741,1.23
002,7.744,2.69
003,7.079,5.14
004,6.518,7.08
005,6.14,9.3
006,5.84,13.49
007,5.633,15.02
008,5.408,17.25
009,5.253,19.4
010,5.145,19.88
011,5.026,21.71
012,4.954,22.65
013,4.883,23.42
014,4.843,23.49
015,4.81,23.84
016,4.785,24.26
017,4.733,25
018,4.698,25.49
019,4.663,25.87
020,4.636,26.08
021,4.629,26.24
022,4.608,26.28
023,4.569,26.53
024,4.573,26.94
025,4.617,26.01
026,4.535,26.9
027,4.517,27.29
028,4.531,27.25
029,4.509,27.61
030,4.496,27.23
031,4.476,27.89
032,4.479,27.68
033,4.479,28.2
034,4.46,28.17
035,4.453,28.13
036,4.455,28.44
037,4.431,28.2
038,4.444,28.45
039,4.448,27.62
040,4.413,28.69
041,4.409,28.66
042,4.448,28.99
043,4.417,28.53
044,4.398,28.51
045,4.391,28.78
046,4.383,28.88
047,4.377,28.84
048,4.391,29.11
049,4.38,29.09
050,4.384,28.89
051,4.385,29.2
052,4.389,29.24
053,4.369,28.99
054,4.378,29.27
055,4.37,29.25
056,4.363,29.32
057,4.348,29.08
058,4.365,28.98
059,4.351,29.29
060,4.367,29.41
