epoch,loss,bleu
001,8.87,0.91
002,8.01,1.95
003,7.407,3.38
004,6.904,5.16
005,6.635,5.52
006,6.469,6.67
007,6.324,7.35
008,6.215,8.11
009,6.138,8.79
010,6.073,8.89
011,6.014,9.33
012,5.978,9.51
013,5.937,9.77
014,5.892,10.16
015,5.87,10.07
016,5.834,10.2
017,5.813,10.49
018,5.786,10.57
019,5.766,10.9
020,5.749,11.09
021,5.733,10.84
022,5.719,11.06
023,5.701,11.23
024,5.683,11.43
025,5.695,10.53
026,5.669,11.24
027,5.651,11.53
028,5.654,11.49
029,5.638,11.87
030,5.635,11.72
031,5.618,11.76
032,5.613,11.59
033,5.6,11.71
034,5.602,11.49
035,5.587,11.94
036,5.583,12.08
037,5.576,11.97
038,5.569,12.13
039,5.59,11.55
040,5.559,12.27
041,5.553,12.37
042,5.55,12.31
043,5.556,12.03
044,5.556,12.04
045,5.54,12.38
046,5.535,11.95
047,5.53,12.16
048,5.533,12.23
049,5.53,11.9
050,5.527,12.44
051,5.52,12.46
052,5.519,11.94
053,5.517,12.26
054,5.507,12.51
055,5.502,12.41
056,5.502,12.66
057,5.497,12.65
058,5.508,12.39
059,5.501,12.39
060,5.491,12.74
