epoch,loss,bleu
001,4.971,27.33
002,4.557,32.16
003,4.383,33.78
004,4.334,33.34
005,4.232,35.16
006,4.187,35.8
007,4.158,35.51
008,4.122,36.17
009,4.102,36.32
010,4.079,36.5
011,4.062,36.59
012,4.057,36.35
013,4.038,36.56
014,4.031,36.79
015,4.016,37.1
016,4.006,37.16
017,3.995,37.27
018,3.994,37.11
019,3.979,37.42
020,3.973,37.25
021,3.967,37.29
022,3.965,37.43
023,3.956,37.42
024,3.951,37.44
025,3.949,37.37
026,3.937,37.75
027,3.935,37.82
028,3.939,37.44
029,3.932,37.63
030,3.92,37.78
031,3.922,37.93
032,3.915,37.86
033,3.912,37.73
034,3.913,37.79
035,3.909,37.71
036,3.904,37.98
037,3.906,37.72
038,3.896,38.08
039,3.888,38.09
040,3.897,37.99
041,3.902,37.66
042,3.898,37.71
043,3.884,38.04
044,3.883,38.06
045,3.878,38.16
046,3.876,38.17
047,3.876,38.18
048,3.874,38.22
049,3.867,38.15
050,3.87,38.17
051,3.864,38.35
052,3.86,38.33
053,3.867,38.16
054,3.863,38.43
055,3.86,38.39
056,3.854,38.41
057,3.86,38.27
058,3.854,38.31
059,3.854,38.4
060,3.855,38.25
061,3.848,38.26
