epoch,loss,bleu
001,4.727,29.86
002,4.353,33.88
003,4.209,35.19
004,4.16,34.77
005,4.071,36.31
006,4.032,36.83
007,4.007,36.51
008,3.975,37.2
009,3.956,37.3
010,3.938,37.47
011,3.924,37.48
012,3.918,37.19
013,3.902,37.46
014,3.895,37.71
015,3.883,37.91
016,3.871,38.09
017,3.862,38.1
018,3.862,38.06
019,3.85,38.22
020,3.844,38.14
021,3.835,38.17
022,3.834,38.28
023,3.827,38.22
024,3.823,38.31
025,3.824,38.19
026,3.812,38.57
027,3.812,38.65
028,3.813,38.3
029,3.807,38.48
030,3.798,38.61
031,3.801,38.69
032,3.794,38.65
033,3.792,38.47
034,3.794,38.63
035,3.788,38.52
036,3.785,38.77
037,3.785,38.55
038,3.776,38.86
039,3.769,38.86
040,3.776,38.81
041,3.784,38.5
042,3.779,38.46
043,3.766,38.81
044,3.766,38.8
045,3.76,38.89
046,3.758,38.97
047,3.761,38.95
048,3.759,38.98
049,3.751,38.92
050,3.753,38.93
051,3.748,39.1
052,3.744,39.1
053,3.749,38.93
054,3.746,39.11
055,3.744,39.19
056,3.741,39.17
057,3.746,39
058,3.739,39.03
059,3.739,39.12
060,3.743,39
061,3.734,39
062,3.731,39.22
063,3.731,39.18
064,3.732,39.12
065,3.736,38.99
066,3.734,39.18
067,3.73,39.18
068,3.727,39.08
069,3.731,39.13
