epoch,loss,bleu
001,5.056,26.94
002,4.622,31.77
003,4.445,33.48
004,4.387,33.12
005,4.287,34.79
006,4.24,35.43
007,4.207,35.15
008,4.177,35.92
009,4.15,36.07
010,4.128,36.23
011,4.114,36.36
012,4.107,35.99
013,4.085,36.33
014,4.076,36.5
015,4.061,36.78
016,4.051,36.89
017,4.042,37.01
018,4.04,36.92
019,4.024,37.15
020,4.018,36.97
021,4.011,37.08
022,4.007,37.21
023,3.997,37.12
024,3.994,37.16
025,3.992,37.13
026,3.981,37.51
027,3.98,37.55
028,3.981,37.24
029,3.974,37.41
030,3.964,37.54
031,3.963,37.66
032,3.959,37.65
033,3.956,37.45
034,3.956,37.55
035,3.952,37.53
036,3.948,37.72
037,3.948,37.55
038,3.939,37.84
039,3.932,37.8
040,3.938,37.75
041,3.946,37.47
042,3.94,37.47
043,3.927,37.82
044,3.925,37.81
045,3.919,37.87
046,3.917,38
047,3.918,37.9
048,3.918,37.98
049,3.908,37.89
050,3.911,37.94
051,3.908,38.1
052,3.902,38.12
053,3.908,37.94
054,3.905,38.17
055,3.901,38.18
056,3.897,38.18
057,3.902,38.04
058,3.895,38.06
059,3.895,38.15
060,3.896,38.06
061,3.889,38.1
062,3.886,38.24
063,3.887,38.18
064,3.886,38.22
065,3.891,38.03
066,3.889,38.21
067,3.887,38.22
068,3.884,38.12
069,3.885,38.23
