epoch,loss,bleu
001,5.192,21.8
002,4.688,27.17
003,4.504,28.92
004,4.401,29.56
005,4.319,31.11
006,4.261,31.73
007,4.219,31.71
008,4.189,31.99
009,4.164,32.44
010,4.143,32.39
011,4.119,32.76
012,4.122,32.28
013,4.103,32.52
014,4.077,33.2
015,4.065,33.33
016,4.057,33.37
017,4.051,33.34
018,4.039,33.44
019,4.031,33.68
020,4.02,33.65
021,4.015,33.83
022,4.012,33.56
023,4.009,33.56
024,4,33.61
025,3.989,33.96
026,3.981,34.06
027,3.982,33.87
028,3.977,33.9
029,3.975,34.01
030,3.97,33.94
031,3.961,34.15
032,3.965,34.09
033,3.952,34.34
034,3.946,34.41
035,3.947,34.16
036,3.943,34.29
037,3.939,34.31
038,3.94,34.27
039,3.94,34.05
040,3.932,34.49
041,3.932,34.29
042,3.927,34.63
043,3.923,34.29
044,3.923,34.46
045,3.918,34.42
046,3.918,34.24
047,3.922,34.32
048,3.91,34.53
049,3.909,34.57
