epoch,loss,bleu
001,5.421,20.04
002,4.888,25.7
003,4.689,27.63
004,4.579,28.24
005,4.487,29.9
006,4.423,30.55
007,4.379,30.76
008,4.347,30.97
009,4.316,31.46
010,4.294,31.34
011,4.266,31.86
012,4.272,31.16
013,4.245,31.56
014,4.221,32.27
015,4.206,32.36
016,4.196,32.43
017,4.191,32.39
018,4.177,32.5
019,4.167,32.76
020,4.158,32.68
021,4.149,32.89
022,4.146,32.58
023,4.143,32.69
024,4.134,32.7
025,4.122,33.1
026,4.113,33.19
027,4.114,32.98
028,4.11,32.99
029,4.107,33.1
030,4.1,33.04
031,4.091,33.35
032,4.095,33.25
033,4.08,33.55
034,4.076,33.57
035,4.075,33.38
036,4.071,33.43
037,4.065,33.44
038,4.069,33.45
039,4.068,33.27
040,4.058,33.67
041,4.057,33.52
042,4.053,33.81
043,4.049,33.47
044,4.048,33.64
045,4.041,33.65
046,4.042,33.44
047,4.046,33.52
048,4.032,33.74
049,4.033,33.83
050,4.031,33.61
051,4.024,34.01
052,4.024,33.96
053,4.029,33.73
054,4.024,33.83
055,4.028,33.61
056,4.017,33.97
057,4.019,33.83
058,4.011,33.96
