epoch,loss,bleu
001,4.979,23.71
002,4.511,28.61
003,4.345,30.06
004,4.251,30.88
005,4.176,32.11
006,4.123,32.67
007,4.089,32.79
008,4.059,33.02
009,4.037,33.35
010,4.02,33.3
011,3.998,33.69
012,4.001,33.15
013,3.982,33.39
014,3.959,34
015,3.948,34.11
016,3.941,34.16
017,3.935,34.16
018,3.924,34.23
019,3.917,34.49
020,3.908,34.4
021,3.902,34.6
022,3.9,34.32
023,3.899,34.3
024,3.891,34.35
025,3.881,34.73
026,3.873,34.82
027,3.873,34.64
028,3.871,34.61
029,3.868,34.75
030,3.862,34.66
031,3.855,34.9
032,3.859,34.85
033,3.846,35.08
034,3.841,35.11
035,3.844,34.96
036,3.838,35.03
037,3.835,34.97
038,3.836,35.04
039,3.836,34.77
040,3.83,35.19
041,3.829,34.99
042,3.825,35.32
043,3.821,35.04
044,3.822,35.17
045,3.815,35.14
046,3.816,34.97
047,3.82,35.08
048,3.809,35.15
049,3.81,35.26
