epoch,loss,bleu
001,6.752,8.33
002,5.39,17.42
003,4.832,23.57
004,4.551,26.88
005,4.384,28.73
006,4.287,30.14
007,4.201,31.21
008,4.154,31.52
009,4.112,32.35
010,4.072,32.77
011,4.047,33.05
012,4.02,33.52
013,4.006,33.83
014,3.989,33.6
015,3.974,33.92
016,3.958,34.53
017,3.949,34.45
018,3.939,34.76
019,3.93,34.7
020,3.928,34.82
021,3.914,34.8
022,3.91,34.81
023,3.902,35.25
024,3.898,35.45
025,3.894,34.98
026,3.89,35.29
027,3.887,35.74
028,3.881,35.24
029,3.886,35.22
030,3.88,35.64
031,3.878,35.42
032,3.867,35.63
033,3.867,35.85
034,3.864,35.77
035,3.862,35.89
036,3.862,35.75
037,3.868,35.94
038,3.857,35.96
039,3.858,36.1
040,3.859,36.02
041,3.854,35.9
042,3.86,36.08
043,3.854,36.23
044,3.849,36.14
045,3.851,36.13
046,3.854,36.1
047,3.846,36.09
048,3.847,36.04
049,3.852,35.95
050,3.845,36.01
