epoch,loss,bleu
001,6.867,7.69
002,5.444,17.41
003,4.956,22.36
004,4.712,24.32
005,4.522,27.32
006,4.414,28.55
007,4.321,29.51
008,4.264,30.72
009,4.207,30.98
010,4.175,31.83
011,4.132,31.74
012,4.101,32.39
013,4.081,32.52
014,4.069,32.46
015,4.051,32.96
016,4.023,33.57
017,4.015,33.74
018,4.002,33.95
019,3.99,33.72
020,3.978,34.2
021,3.968,34.18
022,3.963,34.63
023,3.949,34.65
024,3.95,34.67
025,3.94,34.64
026,3.947,34.65
027,3.931,34.98
028,3.921,35.01
029,3.921,34.84
030,3.917,35.2
031,3.911,35.22
032,3.906,35.31
033,3.903,35.52
034,3.898,35.36
035,3.9,35.08
036,3.906,35.48
037,3.903,35.36
038,3.892,35.41
039,3.906,34.77
040,3.898,35.23
