epoch,loss,bleu
001,6.713,8.37
002,5.293,18.84
003,4.758,24.32
004,4.49,27.51
005,4.333,29.24
006,4.241,30.56
007,4.164,31.45
008,4.115,32.23
009,4.078,32.6
010,4.037,33.02
011,4.02,33.32
012,3.998,33.94
013,3.98,33.94
014,3.963,34.11
015,3.952,34.27
016,3.941,34.57
017,3.93,34.47
018,3.925,34.75
019,3.911,34.96
020,3.909,35.08
021,3.904,34.97
022,3.898,34.79
023,3.892,35.39
024,3.888,35.36
025,3.885,35.13
026,3.883,35.43
027,3.881,35.56
028,3.876,35.42
029,3.881,35.29
030,3.874,35.78
031,3.874,35.26
032,3.866,35.53
033,3.866,35.69
034,3.865,35.57
035,3.86,35.7
036,3.861,35.76
037,3.86,35.82
038,3.857,35.72
039,3.859,35.89
040,3.861,35.78
041,3.86,35.67
042,3.863,35.8
043,3.858,36.13
044,3.854,36.06
045,3.855,35.91
046,3.857,35.99
047,3.853,35.95
048,3.855,36.02
049,3.858,35.96
050,3.853,36.12
051,3.853,35.96
052,3.858,36.06
053,3.856,36.05
054,3.853,36.22
055,3.856,36.15
056,3.855,35.77
057,3.86,35.82
058,3.857,36.03
059,3.857,36.06
060,3.857,35.8
