epoch,loss,bleu
001,8.291,2.91
002,6.917,7.28
003,6.03,12.92
004,5.53,16.37
005,5.096,21.87
006,4.889,23.93
007,4.705,25.89
008,4.601,27.34
009,4.511,28.11
010,4.434,29.07
011,4.37,29.72
012,4.328,30.21
013,4.286,30.8
014,4.259,30.93
015,4.24,31.47
016,4.207,31.86
017,4.181,32.41
018,4.16,32.48
019,4.148,32.32
020,4.127,32.79
021,4.111,33.05
022,4.103,33.32
023,4.077,33.58
024,4.073,33.62
025,4.058,33.73
026,4.072,33.65
027,4.043,34.06
028,4.03,34.08
029,4.03,33.85
030,4.019,34.5
031,4.013,34.36
032,4.003,34.56
033,3.996,34.7
034,3.999,34.38
035,3.99,34.48
036,3.983,34.65
037,3.985,34.76
038,3.968,34.94
039,3.987,34.29
040,3.976,34.6
041,3.956,35.15
042,3.957,35.28
043,3.945,35.31
044,3.947,35.31
045,3.946,35.19
046,3.939,35.34
047,3.936,35.42
048,3.933,35.46
049,3.937,35.08
050,3.932,35.28
051,3.924,35.69
052,3.92,35.69
053,3.917,35.56
054,3.925,35.46
055,3.918,36.03
056,3.91,35.8
057,3.909,35.83
058,3.909,35.71
059,3.918,35.61
060,3.904,35.88
