epoch,loss,bleu
001,6.642,8.29
002,5.242,19.05
003,4.722,24.46
004,4.458,27.63
005,4.308,29.37
006,4.22,30.57
007,4.142,31.65
008,4.097,32.2
009,4.063,32.48
010,4.024,33.14
011,4.004,33.38
012,3.981,33.94
013,3.966,34.15
014,3.952,34.09
015,3.938,34.28
016,3.927,34.77
017,3.921,34.54
018,3.916,34.68
019,3.907,34.74
020,3.905,35.03
021,3.898,35.2
022,3.897,34.69
023,3.885,35.28
024,3.88,35.49
025,3.883,35.27
026,3.879,35.49
027,3.88,35.67
028,3.879,35.13
029,3.883,35.27
030,3.874,35.85
031,3.877,35.23
032,3.866,35.63
033,3.87,35.82
034,3.866,35.79
035,3.869,35.79
036,3.868,35.59
037,3.866,35.77
