epoch,loss,bleu
001,8.142,3.11
002,6.802,7.7
003,5.909,13.59
004,5.387,17.35
005,4.968,22.82
006,4.773,24.63
007,4.594,26.76
008,4.513,28.1
009,4.409,28.99
010,4.348,29.95
011,4.29,30.2
012,4.254,30.78
013,4.216,31.36
014,4.187,31.36
015,4.171,32.12
016,4.132,32.42
017,4.118,32.78
018,4.095,33.14
019,4.083,32.91
020,4.064,33.61
021,4.057,33.2
022,4.042,33.66
023,4.022,33.99
024,4.017,33.85
025,4.005,34.06
026,4.012,34.03
027,3.99,34.53
028,3.977,34.5
029,3.977,34.34
030,3.97,34.71
031,3.963,34.64
032,3.952,34.96
033,3.951,34.95
034,3.944,34.76
035,3.943,34.79
036,3.941,34.8
037,3.944,34.93
038,3.927,35.08
039,3.939,34.78
040,3.926,35.03
041,3.916,35.44
042,3.918,35.49
043,3.913,35.47
044,3.911,35.55
045,3.911,35.38
046,3.904,35.65
047,3.899,35.64
048,3.895,35.44
049,3.9,35.35
050,3.901,35.28
051,3.891,35.76
052,3.885,35.74
053,3.886,35.66
054,3.893,35.58
055,3.884,35.97
056,3.874,35.94
057,3.877,35.86
058,3.883,35.78
059,3.886,35.71
060,3.874,35.99
