epoch,loss,bleu
001,8.815,1.01
002,7.59,2.65
003,6.98,4.61
004,6.493,7.86
005,6.125,10.34
006,5.903,12.26
007,5.669,14.6
008,5.479,14.66
009,5.315,17.42
010,5.247,18.48
011,5.156,19.1
012,5.113,19.94
013,5.126,19.19
014,5.01,21.41
015,4.993,21.62
016,4.962,21.88
017,4.945,22.32
018,4.928,22.54
019,4.928,22.19
020,4.906,22.82
021,4.902,23.1
022,4.925,21.71
023,4.889,23.16
024,4.884,23.13
025,4.877,23.53
026,4.885,22.88
027,4.874,23.37
028,4.872,23.27
029,4.871,23.56
030,4.875,23.6
031,4.872,23.45
032,4.882,23.66
033,4.868,23.71
034,4.877,23.64
035,4.868,24.14
036,4.886,23.6
037,4.88,23.95
038,4.876,23.98
039,4.88,23.88
040,4.885,23.86
041,4.879,24.33
042,4.902,23.76
043,4.893,23.93
044,4.889,24.15
045,4.897,24
046,4.902,23.87
047,4.895,24.17
048,4.898,24.28
