epoch,loss,bleu
001,9.254,0.88
002,8.084,1.69
003,7.409,2.89
004,6.917,5.52
005,6.541,7.8
006,6.421,9.04
007,6.084,11.36
008,5.96,11.14
009,5.78,14.24
010,5.661,15.13
011,5.553,15.92
012,5.478,17.2
013,5.536,15.92
014,5.352,18.65
015,5.305,18.89
016,5.241,19.17
017,5.216,19.93
018,5.181,20.12
019,5.152,20.31
020,5.142,20.63
021,5.103,21.11
022,5.124,19.71
023,5.082,21.43
024,5.044,21.26
025,5.028,21.99
026,5.037,20.99
027,5.004,21.92
028,5.002,21.95
029,4.989,22.28
030,4.97,22.7
031,4.947,22.73
032,5.009,21.9
033,4.932,23.19
034,4.944,22.69
035,4.914,23.53
036,4.935,22.83
037,4.899,23.37
038,4.913,23.37
039,4.902,23.77
040,4.913,22.96
041,4.876,24.03
042,4.888,23.78
043,4.879,23.54
044,4.87,23.59
045,4.871,23.91
046,4.883,23.4
047,4.851,24.35
048,4.846,24.16
049,4.858,23.78
050,4.844,24.07
051,4.846,24.36
052,4.903,23
053,4.84,24.31
054,4.833,24.08
055,4.826,24.48
056,4.821,24.22
057,4.815,24.63
058,4.819,24.48
059,4.828,24.08
060,4.827,24.27
