epoch,loss,bleu
001,9.137,0.77
002,7.946,1.77
003,7.268,3.41
004,6.798,6.28
005,6.429,8.48
006,6.257,9.86
007,5.985,12.38
008,5.826,11.77
009,5.653,15.03
010,5.533,16.15
011,5.433,16.83
012,5.365,18.07
013,5.43,16.6
014,5.243,19.29
015,5.208,19.48
016,5.152,20.14
017,5.122,20.76
018,5.087,21.02
019,5.059,21
020,5.044,21.48
021,5.026,21.55
022,5.034,20.6
023,5.003,22.03
024,4.97,21.73
025,4.956,22.37
026,4.951,21.88
027,4.927,22.51
028,4.93,22.49
029,4.92,22.95
030,4.897,23.16
031,4.894,22.97
032,4.921,22.61
033,4.87,23.52
034,4.873,23.18
035,4.862,23.78
036,4.882,22.96
037,4.855,23.61
038,4.869,23.53
039,4.855,23.81
040,4.863,23.5
041,4.836,24.12
042,4.851,23.79
043,4.839,23.93
044,4.831,24.07
045,4.827,24.18
046,4.84,23.74
047,4.827,24.22
048,4.814,24.5
049,4.83,24.18
050,4.815,24.6
051,4.818,24.58
052,4.855,23.45
053,4.827,24.39
054,4.816,24.08
055,4.809,24.65
056,4.808,24.43
057,4.802,24.83
058,4.806,24.67
059,4.815,24.17
060,4.809,24.38
