epoch,loss,bleu
001,8.57,1.43
002,7.547,2.7
003,6.798,6.17
004,6.255,9.06
005,5.831,12.2
006,5.561,15.63
007,5.397,17.55
008,5.21,19.25
009,5.091,20.39
010,4.995,21.13
011,4.905,22.05
012,4.851,22.8
013,4.814,23.23
014,4.749,23.97
015,4.714,24.41
016,4.689,24.93
017,4.663,24.74
018,4.627,25.33
019,4.617,25.79
020,4.595,25.85
021,4.576,26.17
022,4.558,26.48
023,4.537,26.39
024,4.526,26.8
025,4.56,25.93
026,4.5,26.68
027,4.49,26.88
028,4.494,26.65
029,4.477,27.18
030,4.481,26.78
031,4.459,27.43
032,4.46,27.69
033,4.451,27.94
034,4.452,27.99
035,4.438,27.78
036,4.439,28.01
037,4.424,27.65
038,4.419,28.03
039,4.437,27.6
040,4.411,28.28
041,4.407,28.26
042,4.414,28.3
043,4.412,28.14
044,4.412,28.09
045,4.395,28.3
046,4.396,28.47
047,4.383,28.41
048,4.386,28.47
049,4.385,28.32
050,4.395,28.51
051,4.386,28.65
052,4.382,28.81
053,4.381,28.75
054,4.381,28.63
055,4.375,28.73
056,4.37,28.62
057,4.37,28.7
058,4.384,28.38
059,4.374,28.62
