epoch,loss,bleu
001,7.508,3.27
002,6.257,9.53
003,5.652,13.04
004,5.241,18.45
005,5.013,20.62
006,4.884,21.51
007,4.76,23.22
008,4.696,23.87
009,4.638,24.37
010,4.59,24.95
011,4.563,25.32
012,4.534,25.48
013,4.522,26.53
014,4.475,26.72
015,4.463,26.66
016,4.445,26.9
017,4.428,26.92
018,4.421,27.29
019,4.419,27.46
020,4.413,27.41
021,4.397,28.01
022,4.386,28.13
023,4.393,27.76
024,4.382,28.19
025,4.377,28.07
026,4.379,27.81
027,4.374,28.15
028,4.37,28.22
029,4.375,28.33
030,4.369,28.22
031,4.363,28.69
032,4.364,28.25
033,4.361,28.41
034,4.359,28.47
035,4.357,28.67
036,4.36,28.49
037,4.356,28.64
038,4.355,28.77
039,4.354,28.59
040,4.352,28.55
041,4.357,28.72
042,4.351,28.8
043,4.36,28.55
044,4.351,28.8
045,4.356,28.75
046,4.358,28.7
047,4.36,28.91
048,4.355,28.81
049,4.354,28.81
050,4.355,28.78
051,4.354,28.89
052,4.363,29.11
053,4.357,29.01
054,4.359,28.79
055,4.362,28.99
056,4.355,28.91
057,4.357,28.9
058,4.36,28.89
059,4.362,29.07
