epoch,loss,bleu
001,8.502,1.42
002,7.419,2.8
003,6.672,6.98
004,6.116,9.56
005,5.716,12.85
006,5.443,16.64
007,5.274,18.4
008,5.1,19.96
009,4.989,21.29
010,4.907,22.13
011,4.83,23.06
012,4.774,23.31
013,4.743,23.65
014,4.693,24.29
015,4.653,24.9
016,4.63,25.29
017,4.606,25.27
018,4.579,25.78
019,4.576,26.09
020,4.553,26.25
021,4.531,26.44
022,4.522,26.65
023,4.502,26.44
024,4.496,26.99
025,4.534,26.35
026,4.472,27.09
027,4.469,27.32
028,4.477,27.06
029,4.458,27.59
030,4.464,27.24
031,4.449,28.03
032,4.444,27.86
033,4.443,28.11
034,4.433,28.08
035,4.428,28.15
036,4.43,28.17
037,4.417,27.78
038,4.416,28.16
039,4.439,27.67
040,4.408,28.37
041,4.404,28.35
042,4.419,28.51
043,4.413,28.28
044,4.413,28.14
045,4.402,28.51
046,4.4,28.33
047,4.392,28.37
048,4.399,28.6
049,4.394,28.49
050,4.406,28.62
051,4.399,28.63
052,4.393,28.64
053,4.403,28.8
054,4.396,28.58
055,4.395,28.71
056,4.387,28.47
057,4.385,28.79
058,4.399,28.38
059,4.388,28.74
060,4.391,29.04
