epoch,loss,bleu
001,8.415,1.51
002,7.308,3.4
003,6.59,7.42
004,6.058,10.73
005,5.598,13.96
006,5.333,17.43
007,5.159,19.39
008,5.024,20.66
009,4.908,21.64
010,4.848,22.43
011,4.79,23.33
012,4.724,23.8
013,4.704,24.08
014,4.656,24.75
015,4.621,25.08
016,4.597,25.68
017,4.585,25.51
018,4.56,25.95
019,4.544,26.49
020,4.531,26.32
021,4.52,26.56
022,4.511,26.78
023,4.499,26.79
024,4.494,27.27
025,4.528,26.42
026,4.473,26.93
027,4.462,27.36
028,4.482,27.03
029,4.462,27.38
030,4.465,27.12
031,4.453,27.71
032,4.451,27.7
033,4.453,27.79
034,4.447,27.89
035,4.443,27.7
036,4.447,27.96
037,4.433,27.68
038,4.437,28.01
039,4.45,27.48
040,4.43,28.15
041,4.43,28.25
042,4.44,28.1
043,4.44,27.96
044,4.441,27.9
045,4.431,28.26
046,4.43,28.01
047,4.42,28.08
048,4.427,28.3
049,4.433,28.18
050,4.436,28.29
051,4.432,28.22
052,4.434,28.48
053,4.425,28.45
054,4.434,28.04
055,4.423,28.4
056,4.421,28.29
057,4.422,28.17
058,4.437,28
059,4.435,28.45
