epoch,loss,bleu
001,8.614,1.24
002,7.429,3.09
003,6.816,5.46
004,6.34,8.91
005,5.996,11.15
006,5.751,13.45
007,5.541,15.75
008,5.377,15.33
009,5.223,18.37
010,5.153,19.2
011,5.08,19.61
012,5.047,20.7
013,5.103,19.32
014,4.98,21.62
015,4.977,21.64
016,4.947,21.89
017,4.938,22.09
018,4.927,22.51
019,4.945,22.08
020,4.93,22.61
021,4.926,22.72
022,4.958,21.3
023,4.925,22.75
024,4.934,22.43
025,4.929,23.05
026,4.939,22.31
027,4.941,22.89
028,4.941,22.74
029,4.949,22.9
030,4.955,22.84
031,4.952,23.04
032,4.973,22.87
