epoch,loss,bleu
001,9.316,0.9
002,8.2,1.72
003,7.544,2.46
004,7.017,5.23
005,6.638,7.37
006,6.51,8.4
007,6.184,10.75
008,6.066,10.44
009,5.86,13.72
010,5.765,14.56
011,5.639,15.28
012,5.564,16.74
013,5.671,15.1
014,5.425,18.1
015,5.396,17.74
016,5.307,19.21
017,5.281,19.65
018,5.241,19.91
019,5.204,20.1
020,5.204,20.09
021,5.165,20.8
022,5.182,19.51
023,5.134,20.93
024,5.089,21.06
025,5.078,21.82
026,5.062,21.21
027,5.045,21.6
028,5.047,21.9
029,5.034,22.2
030,5.012,22.44
031,4.99,22.38
032,5.054,21.47
033,4.97,22.99
034,4.971,22.75
035,4.961,23.06
036,4.98,22.26
037,4.937,23.19
038,4.968,22.71
039,4.929,23.39
040,4.945,22.95
041,4.907,23.68
042,4.925,23.37
043,4.913,23.45
044,4.913,23.67
045,4.908,23.57
046,4.903,23.59
047,4.887,24.19
048,4.88,24.07
049,4.886,23.89
050,4.879,24.2
051,4.883,23.99
052,4.925,22.91
053,4.874,24.28
054,4.862,24.03
055,4.859,24.23
056,4.852,24.13
057,4.846,24.51
058,4.854,24.57
059,4.856,24.21
060,4.856,24.3
