epoch,loss,bleu
001,9.136,0.74
002,7.962,1.93
003,7.275,3.84
004,6.794,6.47
005,6.423,8.51
006,6.277,9.7
007,5.978,12.12
008,5.825,11.8
009,5.638,15.18
010,5.527,16.1
011,5.419,16.99
012,5.361,18.27
013,5.417,16.93
014,5.233,19.63
015,5.2,19.88
016,5.134,20.3
017,5.112,20.79
018,5.075,21.07
019,5.054,20.99
020,5.038,21.5
021,5.008,22.18
022,5.028,20.82
023,4.994,22.14
024,4.954,22.04
025,4.948,22.71
026,4.948,21.78
027,4.925,22.52
028,4.917,22.83
029,4.917,22.94
030,4.898,23.51
031,4.892,23.1
032,4.908,22.93
033,4.868,23.38
034,4.876,23.24
035,4.855,23.99
036,4.873,23.07
037,4.847,23.84
038,4.863,23.82
039,4.848,23.88
040,4.854,23.71
041,4.842,24.14
042,4.858,23.95
043,4.837,24.1
044,4.835,24.17
045,4.833,24.15
046,4.837,24.09
047,4.824,24.46
048,4.818,24.28
049,4.831,24.08
050,4.813,24.61
051,4.82,24.54
052,4.852,23.66
053,4.816,24.55
054,4.814,24.3
055,4.812,24.59
056,4.809,24.62
057,4.8,24.96
058,4.805,24.73
059,4.822,24.21
060,4.807,24.7
