epoch,loss,bleu
001,9.241,0.84
002,8.102,1.78
003,7.447,3.21
004,6.933,5.58
005,6.551,7.97
006,6.409,8.88
007,6.086,11.44
008,5.972,11.35
009,5.772,14.38
010,5.671,15.12
011,5.55,16.09
012,5.487,17.38
013,5.583,15.67
014,5.35,18.4
015,5.306,19.02
016,5.24,19.66
017,5.216,20.15
018,5.174,20.52
019,5.146,20.33
020,5.135,20.87
021,5.093,21.4
022,5.114,20.05
023,5.061,21.45
024,5.031,21.45
025,5.017,22.44
026,5.02,21.32
027,4.983,22.22
028,4.995,21.99
029,4.973,22.61
030,4.952,23.07
031,4.942,22.76
032,4.986,22.2
033,4.919,23.44
034,4.932,22.79
035,4.912,23.56
036,4.939,22.66
037,4.889,23.49
038,4.907,23.46
039,4.893,23.53
040,4.904,23.28
041,4.871,23.91
042,4.888,23.4
043,4.878,23.51
044,4.866,24.01
045,4.865,23.86
046,4.874,23.66
047,4.848,24.3
048,4.841,24.42
049,4.846,24.04
050,4.841,24.43
051,4.835,24.42
052,4.871,23.54
053,4.839,24.33
054,4.83,24.23
055,4.82,24.64
056,4.821,24.51
057,4.811,24.76
058,4.822,24.74
059,4.834,24.08
060,4.826,24.44
