epoch,loss,bleu
001,9.38,0.75
002,8.27,1.6
003,7.631,2.36
004,7.115,4.91
005,6.72,7.06
006,6.569,8.22
007,6.244,10.49
008,6.139,9.95
009,5.943,13.02
010,5.847,13.85
011,5.726,14.65
012,5.658,15.81
013,5.758,14.39
014,5.509,17.33
015,5.465,17.55
016,5.393,18.34
017,5.357,19.05
018,5.316,19.1
019,5.279,19.41
020,5.272,19.45
021,5.228,20.3
022,5.263,18.84
023,5.196,20.49
024,5.156,20.47
025,5.14,21.32
026,5.135,20.66
027,5.111,20.97
028,5.121,21.22
029,5.1,21.34
030,5.071,22.05
031,5.047,21.83
032,5.101,21.33
033,5.034,22.51
034,5.046,21.92
035,5.02,22.65
036,5.027,22.16
037,4.987,22.68
038,5.011,22.66
039,4.99,22.93
040,5.014,22.35
041,4.962,23.37
042,4.982,22.72
043,4.969,22.97
044,4.968,23.27
045,4.961,23.13
046,4.96,23.08
047,4.931,23.62
048,4.928,23.5
049,4.933,23.44
050,4.924,23.6
051,4.927,23.76
052,4.968,22.36
053,4.919,23.57
054,4.909,23.53
055,4.904,23.74
056,4.899,23.75
057,4.89,24.13
