epoch,loss,bleu
001,9.475,0.35
002,8.33,2.2
003,7.551,4.04
004,7.104,5.84
005,6.729,8.06
006,6.52,9.33
007,6.347,10.79
008,6.156,10.94
009,6.021,12.71
010,5.952,13.37
011,5.844,13.94
012,5.785,14.92
013,5.85,14.38
014,5.683,15.73
015,5.667,16.08
016,5.585,16.5
017,5.564,16.97
018,5.518,17.53
019,5.477,17.48
020,5.47,17.62
021,5.457,18.07
022,5.531,16.2
023,5.384,18.83
024,5.358,18.65
025,5.335,19.17
026,5.322,18.96
027,5.292,19.43
028,5.311,19.38
029,5.299,19.37
030,5.27,19.93
031,5.232,20.08
032,5.271,19.83
033,5.216,20.51
034,5.232,19.94
035,5.189,20.83
036,5.216,20.16
037,5.174,20.62
038,5.176,21.08
039,5.164,21.2
040,5.173,20.78
041,5.13,21.3
042,5.138,21.19
043,5.152,20.66
044,5.125,21.28
045,5.113,21.68
046,5.131,21.18
047,5.089,21.93
048,5.093,21.64
049,5.092,21.56
050,5.069,21.89
051,5.083,21.83
052,5.093,21.34
053,5.063,21.98
054,5.071,21.54
055,5.043,22.17
056,5.048,21.9
057,5.034,22.6
058,5.047,22.36
059,5.036,22.44
060,5.024,22.46
