epoch,loss,bleu
001,9.368,0.73
002,8.28,1.44
003,7.627,2.32
004,7.123,4.97
005,6.717,6.86
006,6.599,7.81
007,6.251,10.38
008,6.172,10.18
009,5.954,12.87
010,5.854,13.84
011,5.737,14.63
012,5.672,15.75
013,5.779,14.05
014,5.527,17.03
015,5.481,17.27
016,5.403,18.12
017,5.381,18.74
018,5.335,18.95
019,5.297,19.04
020,5.285,19.56
021,5.245,19.96
022,5.276,18.81
023,5.207,20.26
024,5.175,20.21
025,5.154,21.05
026,5.147,20.4
027,5.113,21.05
028,5.129,20.99
029,5.11,21.25
030,5.092,21.82
031,5.063,21.65
032,5.118,20.9
033,5.041,22.4
034,5.052,22
035,5.029,22.41
036,5.035,22.07
037,4.998,22.64
038,5.036,22.31
039,4.988,22.8
040,5.019,22.29
041,4.967,23.16
042,4.988,23.07
043,4.975,22.92
044,4.963,23.11
045,4.961,23.16
046,4.961,23.14
047,4.934,23.65
048,4.937,23.59
049,4.934,23.4
050,4.929,23.52
051,4.939,23.51
052,4.955,22.92
053,4.923,23.73
054,4.909,23.43
055,4.897,23.85
056,4.9,23.71
057,4.888,24.13
058,4.89,23.96
059,4.899,23.68
060,4.909,23.62
